,id,kills,assists,arrow_accuracy,kit,position
436,BigBrainIsKey,0,0,0.18,Ecologist,5
437,Robert_Andy,0,1,,Knight,8
438,Dihydrogen_,0,0,,Knight,6
439,IndyPlays,4,0,0.27,Armorsmith,1
440,xNexT,1,0,0.27,Enderman,3
441,BingBongBam,1,1,,Frog,9
442,Noka1924,1,0,,Armorer,5
443,EvilGingerEat,1,0,,Knight,8
444,BlasterGNC,0,1,,Knight,10
445,caiordbr,0,0,,Armorsmith,7
446,CHIMANSK,0,0,,Energix,11
447,rappeme,0,0,,Pharaoh,6
448,PSMoreira,0,0,,Pyro,2
449,GLXY_HOBO,0,0,0.0,Ecologist,12
450,LiquoTV,5,0,,Knight,1
451,Theophile,3,0,0.7,Knight,3
452,HarriFish,2,0,0.13,Knight,2
453,Fwoffyy,0,0,,Armorsmith,9
454,_cyte,0,0,,Knight,5
455,Sunjey,0,0,,Ecologist,11
456,Hqmmy,0,0,,Knight,12
457,Vuvw,0,0,,Pharaoh,6
458,chrs___,0,0,,Scout,8
459,creejud,0,1,,Knight,10
460,JJ4123,0,0,,None,7
461,Voxelity,4,0,,Armorsmith,1
462,Fwoffyy,1,0,0.23,Armorsmith,4
463,ARogueLlama,1,0,,Farmer,5
464,_SrDark,1,0,,Frog,7
465,creejud,1,0,0.25,Knight,3
466,TrueSilverWolf7,1,0,,Frog,6
467,Hqmmy,0,0,,Knight,12
468,Ptenchioo,0,0,,Frog,9
469,Vuvw,0,1,,Pharaoh,2
470,JJ4123,0,0,,None,8
471,WildCactus,0,0,,Knight,10
472,Sr7_,2,0,,Armorer,1
473,reeni,2,1,0.33,Knight,4
474,MiniGrill2020,2,0,,Jester,5
475,aboOodyaaa,1,1,,Farmer,6
476,Vimlaren,0,0,,Armorer,3
477,piloish,0,0,,Ecologist,11
478,hunter093,0,0,,Knight,8
479,notdrago,0,0,,Troll,7
480,way2up,0,0,,Scout,10
481,panos19,0,0,,Scout,12
482,LilMichaelScott,0,0,,Energix,9
483,McWafflesss,3,0,0.71,Hunter,2
484,howks,2,0,,Frog,4
485,MASKSMC,2,1,0.33,Armorer,1
486,Moldycheese328,1,0,,Knight,3
487,Lasagna1098,1,0,0.5,Knight,5
488,gamingllama1,0,0,,Knight,10
489,pristineslayer,0,0,,Knight,8
490,YumJ,0,0,,Knight,7
491,NotMemeBoi,0,0,,Scout,11
492,SlurpleBag,0,0,,Knight,9
493,FrostBites2602,0,0,,End Lord,6
494,Qudz,4,0,,Knight,1
495,_Zayde,3,0,,Knight,7
496,OoLunar,1,1,0.67,Armorer,2
497,Myhu_08,1,0,,Armorer,5
498,MASKSMC,1,0,0.13,Armorer,3
499,VladCH_peinsta,0,2,,Armorsmith,8
500,JayThaDemon,0,1,,Scout,9
501,tismsn,0,0,,Scout,11
502,Voxelity,0,0,,Knight,12
503,LostXOR,0,0,0.0,Armorer,6
504,LilMichaelScott,0,0,0.29,Knight,10
505,JayThaDemon,3,0,,Farmer,2
506,ADaola,3,0,,Ecologist,1
507,oJul1an,1,0,0.4,Knight,3
508,Burbclave,0,0,,None,12
509,WhyJustWhy2,0,0,0.0,Farmer,9
510,Swufs,0,0,,Knight,5
511,p1asma__,0,0,,Enderman,7
512,Lcgic,0,0,,Enderman,10
513,h1zek,0,0,,Scout,11
514,5treak,0,0,,Knight,8
515,WheezyMoss,0,0,,Pharaoh,6
516,thatBlitzo,5,0,,Frog,1
517,ItsN00B,2,0,,Knight,5
518,Hpyix,1,0,,Farmer,9
519,Lcgic,1,0,,Enderman,2
520,SmartsMagrts,1,0,0.21,Farmer,4
521,Burbclave,0,0,,None,12
522,shrax,0,0,,Enderman,11
523,YTFighter2168,0,0,,Enderman,8
524,trycs0,0,0,,Knight,7
525,crmsxn,0,0,,Knight,3
526,ProfPlumbum,0,0,,Frog,10
527,MegaAndBlazing,3,1,,Scout,1
528,Comsagnaths,1,0,,Knight,7
529,entendo187,1,1,0.0,Frog,2
